Potra2n6c15160,Belongs to the ubiquitin-conjugating enzyme family
Potra2n6c15339,"ATPase 8, plasma"
Potra2n13c25159,Two pore calcium channel protein
Potra2n13c25443,Zinc-dependent metalloprotease
Potra2n13c25917,Poly(RC)-binding protein
Potra2n13c26023,Destroys radicals which are normally produced within the cells and which are toxic to biological systems
Potra2n13c26108,"Plant lipoxygenase may be involved in a number of diverse aspects of plant physiology including growth and development, pest resistance, and senescence or responses to wounding"
Potra2n13c26256,"ARF-like small GTPases; ARF, ADP-ribosylation factor"
Potra2n17c30948,DnaJ molecular chaperone homology domain
Potra2n17c31272,transcription
Potra2n17c31252,Required for endonucleolytic cleavage during polyadenylation-dependent pre-mRNA 3'-end formation
Potra2n17c31231,Retrotransposon gag protein
Potra2n17c31359,"Involved in mRNA export coupled transcription activation by association with both the TREX-2 and the SAGA complexes. The transcription regulatory histone acetylation (HAT) complex SAGA is a multiprotein complex that activates transcription by remodeling chromatin and mediating histone acetylation and deubiquitination. Within the SAGA complex, participates to a subcomplex that specifically deubiquitinates histones. The SAGA complex is recruited to specific gene promoters by activators, where it is required for transcription. The TREX-2 complex functions in docking export-competent ribonucleoprotein particles (mRNPs) to the nuclear entrance of the nuclear pore complex (nuclear basket). TREX-2 participates in mRNA export and accurate chromatin positioning in the nucleus by tethering genes to the nuclear periphery"
Potra2n17c31702,Nuclear chaperone required for maturation and nuclear export of pre-60S ribosome subunits
Potra2n17c31777,Peroxisomal membrane protein
Potra2n3c6579,G-type lectin S-receptor-like serine threonine-protein kinase
Potra2n3c6643,Ubiquitin carboxyl-terminal hydrolase
Potra2n3c6960,Squamosa promoter-binding-like protein
Potra2n3c7091,GPI-anchored adhesin-like protein PGA55
Potra2n3c7147,Belongs to the glycosyltransferase 8 family
Potra2n3c7315,Histidine phosphatase superfamily (branch 1)
Potra2n3c7549,Protein RFT1 homolog
Potra2n3c7768,Plays a complex role in regulating the basal catalytic activity of the alpha subunit
Potra2n3c7848,Histidine triad nucleotide-binding protein
Potra2n3c8094,Coatomer subunit
Potra2n3c8222,Telomerase reverse
Potra2n3c8390,Non-lysosomal glucosylceramidase that catalyzes the conversion of glucosylceramide to free glucose and ceramide
Potra2n12c23919,receptor-like protein kinase
Potra2n12c23924,Cyclic nucleotide-gated ion channel 1-like
Potra2n12c24207,Transcription elongation factor B polypeptide
Potra2n12c24295,"Putative zinc finger motif, C2HC5-type"
Potra2n12c24574,ACT domain
Potra2n12c24774,Peptidyl-prolyl cis-trans isomerase
Potra2n2c4162,Serine threonine-protein kinase
Potra2n2c4152,dCTP pyrophosphatase 1-like
Potra2n2c4904,BTB POZ domain-containing protein
Potra2n2c4901,Common plant regulatory factor
Potra2n2c4866,Beclin-1-like protein
Potra2n2c5097,Belongs to the arginase family
Potra2n2c5125,Transcription factor
Potra2n2c5255,EF hand
Potra2n2c5542,serine arginine-rich splicing factor
Potra2n2c5903,Belongs to the eukaryotic ribosomal protein eL20 family
Potra2n2c6229,Protein disulfide-isomerase LQY1
Potra2n2c6417,wall-associated receptor kinase-like
Potra2n14c26449,QWRF family
Potra2n14c26495,WRKY transcription factor
Potra2n14c26935,zinc finger CCCH domain-containing protein
Potra2n14c26985,Lipase 3 N-terminal region
Potra2n14c27550,4Fe-4S single cluster domain
Potra2n14c27597,"Introduces a single-strand break via transesterification at a target site in duplex DNA. Releases the supercoiling and torsional tension of DNA introduced during the DNA replication and transcription by transiently cleaving and rejoining one strand of the DNA duplex. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand"
Potra2n14c27636,Belongs to the ATG8 family
Potra2n14c27896,LRR receptor-like serine threonine-protein kinase
Potra2n5c10905,Histone acetyltransferase
Potra2n5c11250,NAC domain-containing protein
Potra2n5c11300,Selenoprotein SelK_SelG
Potra2n5c11359,Encoded by
Potra2n5c11446,Universal stress protein
Potra2n5c11476,TFIIA is a component of the transcription machinery of RNA polymerase II and plays an important role in transcriptional activation
Potra2n5c11556,receptor-like protein kinase
Potra2n5c11616,Leucine-zipper of ternary complex factor MIP1
Potra2n5c11752,Transcription factor MYB98-like
Potra2n5c11870,Transporter
Potra2n5c12011,Porphobilinogen deaminase
Potra2n5c12087,GTP-BINDING protein
Potra2n5c12056,Transcription factor
Potra2n5c12378,Aux IAA proteins are short-lived transcriptional factors that function as repressors of early auxin response genes at low auxin concentrations
Potra2n5c12360,At2g34160-like
Potra2n5c12248,ankyrin repeat-containing protein
Potra2n5c12447,Acyltransferase-like protein At1g54570
Potra2n5c12470,Frigida-like protein
Potra2n5c12563,TMV resistance protein N-like
Potra2n5c12527,UDP-N-acetylglucosamine transferase subunit ALG13 homolog
Potra2n492s35805,Homeobox-leucine zipper protein
Potra2n858s36842,Belongs to the complex I LYR family
Potra2n16c29259,heat shock
Potra2n16c29242,APO protein
Potra2n16c29535,TGACG-sequence-specific DNA-binding protein
Potra2n16c29640,Belongs to the actin family
Potra2n16c29866,Belongs to the syntaxin family
Potra2n16c30080,Belongs to the MIP aquaporin (TC 1.A.8) family
Potra2n19c33268,RING finger and transmembrane domain-containing protein
Potra2n19c33328,60S ribosomal protein
Potra2n19c33391,Heavy metal-associated isoprenylated plant protein
Potra2n19c33629,"transcription, DNA-templated"
Potra2n19c33758,TVP38 TMEM64 family membrane protein
Potra2n19c33747,Zinc-dependent metalloprotease
Potra2n19c34210,Required for peroxisome biogenesis and for PTS1- and PTS2-dependent protein import into peroxisomes
Potra2n19c34384,Terpene synthase
Potra2n651s36269,protein dimerization activity
Potra2n7c15742,Chromatin assembly factor 1 subunit
Potra2n7c15953,UDP-galactose transporter
Potra2n7c16003,Ribosomal protein S10p/S20e
Potra2n7c16386,Acidic leucine-rich nuclear phosphoprotein 32-related
Potra2n7c16341,STS14 protein-like
Potra2n7c16321,guanine nucleotide-binding protein
Potra2n220s34997,assists the folding of proteins upon ATP hydrolysis
Potra2n360s35407,Belongs to the protein kinase superfamily. Ser Thr protein kinase family
Potra2n1c56,Protochlorophyllide-dependent translocon component 52
Potra2n1c197,Plant lipid transfer protein / seed storage protein / trypsin-alpha amylase inhibitor domain family
Potra2n1c268,65-kDa microtubule-associated protein
Potra2n1c459,Squamosa promoter-binding-like protein
Potra2n1c777,High mobility group B protein
Potra2n1c799,BTB POZ domain-containing protein
Potra2n1c906,Thaumatin family
Potra2n1c852,Aminopeptidase
Potra2n1c1166,Essential subunit of the N-oligosaccharyl transferase (OST) complex which catalyzes the transfer of a high mannose oligosaccharide from a lipid-linked oligosaccharide donor to an asparagine residue within an Asn-X-Ser Thr consensus motif in nascent polypeptide chains
Potra2n1c1501,isoform X1
Potra2n1c1375,Belongs to the enoyl-CoA hydratase isomerase family
Potra2n1c1712,phosphatase 2A 55 kDa regulatory subunit B
Potra2n1c2270,65-kDa microtubule-associated protein
Potra2n1c2301,protein phosphatase binding
Potra2n1c2407,guanyl-nucleotide exchange factor activity
Potra2n1c2619,Cinnamyl alcohol dehydrogenase
Potra2n1c2880,yrdC domain-containing protein
Potra2n1c2826,Glycerophosphodiester phosphodiesterase
Potra2n1c3350,Domain of unknown function (DUF4413)
Potra2n1c2757,Methyltransferase-like protein
Potra2n1c3369,leucine-rich repeat receptor-like serine threonine-protein kinase
Potra2n1c4002,calcium-binding protein
Potra2n114s34574,14 kDa zinc-binding
Potra2n773s36740,Domain of unknown function
Potra2n10c20356,Binds to the 60S ribosomal subunit and prevents its association with the 40S ribosomal subunit to form the 80S initiation complex in the cytoplasm. May also be involved in ribosome biogenesis
Potra2n10c20471,LOB domain-containing protein
Potra2n10c20575,ACT domain-containing protein
Potra2n10c20845,Introduction of a cis double bond between carbons of the acyl chain
Potra2n10c20860,"Type II inositol 1,4,5-trisphosphate 5-phosphatase"
Potra2n10c21057,Floral homeotic protein APETALA
Potra2n10c21359,CHY zinc finger
Potra2n10c21524,MACPF domain-containing protein
Potra2n10c21714,Serine threonine-protein kinase
Potra2n10c21814,ethylene-responsive transcription factor
Potra2n10c21935,Cyclin-dependent kinase
Potra2n10c22056,GDSL/SGNH-like Acyl-Esterase family found in Pmr5 and Cas1p
Potra2n10c22330,Cytosolic purine
Potra2n15c27968,Belongs to the SKP1 family
Potra2n15c28019,Ctf8
Potra2n15c28286,Heavy-metal-associated domain
Potra2n15c28421,kDa ribonucleoprotein
Potra2n15c28365,Ribosomal protein S1-like RNA-binding domain
Potra2n15c28554,Aldehyde dehydrogenase family
Potra2n15c28695,Domain of unknown function (DUF4378)
Potra2n15c28874,DDE superfamily endonuclease
Potra2n15c28984,WD repeat-containing protein
Potra2n15c29116,PP2A regulatory subunit
Potra2n11c22564,Diacylglycerol O-acyltransferase
Potra2n11c22650,TBC1 domain family member
Potra2n11c22781,CBS domain-containing protein
Potra2n11c22989,Cleavage and polyadenylation specificity factor
Potra2n11c23022,ABC transporter G family member
Potra2n232s35036,Protein tyrosine kinase
Potra2n8c16740,Very-long-chain enoyl-CoA reductase-like
Potra2n8c16873,Glycosyl transferases group 1
Potra2n8c16880,Histone H2B
Potra2n8c17013,Regulator of nonsense transcripts
Potra2n8c17065,Belongs to the MIP aquaporin (TC 1.A.8) family
Potra2n8c18214,Salt stress response/antifungal
Potra2n8c18385,transcription factor
Potra2n8c18483,"1,4-beta-D-glucanase-like"
Potra2n8c18545,Belongs to the cullin family
Potra2n9c18639,Brefeldin A-inhibited guanine nucleotide-exchange protein
Potra2n9c19034,Transcriptional activator that specifically binds 5'- GATA-3' or 5'-GAT-3' motifs within gene promoters
Potra2n9c19094,"SANT  SWI3, ADA2, N-CoR and TFIIIB'' DNA-binding domains"
Potra2n9c19254,At4g06744-like
Potra2n9c19459,E3 ubiquitin ligase BIG
Potra2n9c19670,Lipase (class 3)
Potra2n9c20013,Isovaleryl-CoA dehydrogenase
Potra2n18c31991,"The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH"
Potra2n18c32189,Synaptotagmin-5-like
Potra2n18c32771,Vacuolar-processing enzyme-like
Potra2n18c33088,BEST Arabidopsis thaliana protein match is
Potra2n18c33025,"GPI-GlcNAc transferase complex, PIG-H component"
Potra2n379s35487,lysM domain receptor-like kinase
Potra2n1428s37067,ankyrin repeat-containing protein
Potra2n81s34532,acyltransferase-like 4
Potra2n81s34500,Regulatory protein
Potra2n4c8677,Equilibrative nucleotide transporter 3-like
Potra2n4c8721,Protein STRUBBELIG-RECEPTOR FAMILY 3-like
Potra2n4c8788,Pollen proteins Ole e I like
Potra2n4c8903,transcription factor
Potra2n4c9094,UTP-glucose-1-phosphate uridylyltransferase
Potra2n4c9079,heat shock
Potra2n4c9396,proline-rich receptor-like protein kinase
Potra2n4c9642,PHD finger protein
Potra2n4c9623,Human Cytomegalovirus UL139 protein
Potra2n4c9891,polyprenol reductase
Potra2n4c10410,Protein of unknown function (DUF707)
Potra2n6c13804,Cation H( ) antiporter
Potra2n6c13864,Homogentisate phytyltransferase 1
Potra2n6c14100,Respiratory burst oxidase homolog protein
Potra2n6c14367,receptor
Potra2n6c14373,receptor-like protein kinase
Potra2n6c14623,WAT1-related protein
Potra2n6c14577,Belongs to the multicopper oxidase family
Potra2n6c14713,Belongs to the small heat shock protein (HSP20) family
Potra2n6c14938,Belongs to the glycosyltransferase 2 family. Plant cellulose synthase subfamily
Potra2n13c24964,Belongs to the cytochrome P450 family
Potra2n13c24990,isoform X1
Potra2n13c25337,NAC domain-containing protein
Potra2n13c25722,Belongs to the ubiquitin-conjugating enzyme family
Potra2n13c25841,Exosome complex component
Potra2n13c25835,Belongs to the protein kinase superfamily. Ser Thr protein kinase family
Potra2n13c26026,Carbohydrate-binding protein of the ER
Potra2n13c26152,Cell cycle checkpoint control protein
Potra2n17c30624,Pentatricopeptide repeat-containing protein
Potra2n17c30614,Protein SGT1 homolog
Potra2n17c31612,f-box protein
Potra2n17c31764,gag-polypeptide of LTR copia-type
Potra2n17c31902,Domain of unknown function (DUF4283)
Potra2n3c6922,Mitochondrial import receptor subunit
Potra2n3c7009,Divergent CCT motif
Potra2n3c7075,female pronucleus assembly
Potra2n3c7232,E3 ubiquitin-protein ligase
Potra2n3c7409,Calcium-dependent protein kinase
Potra2n3c7375,Pollen-specific protein
Potra2n3c7647,transcription factor
Potra2n3c7615,Protein of unknown function (DUF1336)
Potra2n3c7998,Binds to the 23S rRNA
Potra2n3c8029,Casein Kinase
Potra2n3c8034,receptor-like protein kinase
Potra2n3c8350,YT521-B-like domain
Potra2n12c24118,ADP-ribosylation factor GTPase-activating protein
Potra2n12c24185,Protein of unknown function (DUF1666)
Potra2n12c24691,Protein ROOT HAIR DEFECTIVE 3 homolog
Potra2n12c24777,AT-hook motif nuclear-localized protein
Potra2n12c24832,Sorbitol dehydrogenase-like
Potra2n2c4367,Belongs to the universal ribosomal protein uL6 family
Potra2n2c4364,Glutamate-gated receptor that probably acts as non- selective cation channel
Potra2n2c4410,Homeodomain
Potra2n2c4510,Nup133 N terminal like
Potra2n2c4644,PAPA-1-like conserved region
Potra2n2c4772,transcription factor
Potra2n2c4757,Protein arv1 homolog
Potra2n2c4838,nephrocystin-3-like
Potra2n2c4942,Belongs to the glycosyl hydrolase 28 family
Potra2n2c5285,zinc finger
Potra2n2c5369,Protein of unknown function (DUF3054)
Potra2n2c5413,GATA transcription factor
Potra2n2c5580,Aminotransferase class I and II
Potra2n2c5714,UDP-sugar
Potra2n2c5820,Thioredoxin Y1
Potra2n2c5848,"Type I inositol 1,4,5-trisphosphate 5-phosphatase"
Potra2n2c5880,mitogen-activated protein kinase
Potra2n2c6278,E3 ubiquitin-protein ligase
Potra2n2c6284,Subtilisin-like
Potra2n14c26477,Belongs to the cytochrome P450 family
Potra2n14c26803,Vesicle-associated membrane protein-associated protein
Potra2n14c27093,Protein SUPPRESSOR OF PHYA-105
Potra2n14c27142,Pyridoxine pyridoxamine 5'-phosphate oxidase
Potra2n14c27559,Belongs to the protein kinase superfamily. Ser Thr protein kinase family
Potra2n14c27667,Protein NRT1 PTR FAMILY
Potra2n14c27862,Belongs to the enoyl-CoA hydratase isomerase family
Potra2n14c27930,RIBOSOMAL protein
Potra2n5c10599,Arabidopsis protein of unknown function
Potra2n5c11283,General transcription factor IIH subunit
Potra2n5c11704,MIP18 family protein At1g68310-like
Potra2n5c11632,Belongs to the protein kinase superfamily
Potra2n5c11935,Binds to the 60S ribosomal subunit and prevents its association with the 40S ribosomal subunit to form the 80S initiation complex in the cytoplasm. May also be involved in ribosome biogenesis
Potra2n5c11872,Thiol-disulfide oxidoreductase
Potra2n5c12344,Histone-lysine n-methyltransferase
Potra2n5c12437,Serine threonine-protein kinase
Potra2n5c12329,alcohol dehydrogenase
Potra2n5c12606,Respiratory burst
Potra2n714s36574,Methylmalonate-semialdehyde dehydrogenase
Potra2n858s36840,30S ribosomal protein S31
Potra2n16c29252,"Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis"
Potra2n16c29304,"Calcium-transporting ATPase 12, plasma membrane-type-like"
Potra2n16c29451,"Calmodulin mediates the control of a large number of enzymes, ion channels and other proteins by Ca(2 ). Among the enzymes to be stimulated by the calmodulin-Ca(2 ) complex are a number of protein kinases and phosphatases"
Potra2n16c29456,Alpha-L-arabinofuranosidase
Potra2n16c29842,E3 ubiquitin-protein ligase
Potra2n16c29845,Calcium-dependent protein kinase
Potra2n16c29954,Belongs to the universal ribosomal protein uS4 family
Potra2n16c30066,Plays an important role in the de novo pathway and in the salvage pathway of purine nucleotide biosynthesis. Catalyzes the first commited step in the biosynthesis of AMP from IMP
Potra2n16c30175,Membrane-associated 30 kDa protein
Potra2n16c30291,30S ribosomal protein S31
Potra2n16c30447,LURP-one-related
Potra2n16c30538,Acetyltransferase NSI-like
Potra2n19c33403,Belongs to the glycosyltransferase 8 family
Potra2n19c33506,CLAVATA3 ESR-related
Potra2n19c33527,helix loop helix domain
Potra2n19c33820,RING-type zinc-finger
Potra2n19c34000,Serine threonine-protein kinase
Potra2n19c34034,cationic amino acid transporter
Potra2n19c34170,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase SEC
Potra2n19c34191,Salicylate
Potra2n19c34230,Protein CHAPERONE-LIKE PROTEIN OF POR1-like
Potra2n443s35688,Mitochondrial ribosome-associated GTPase
Potra2n650s36268,Belongs to the zinc-containing alcohol dehydrogenase family. Class-III subfamily
Potra2n1476s37094,Nudix hydrolase 3-like
Potra2n7c15565,Histidine protein methyltransferase 1 homolog
Potra2n7c15740,alcohol dehydrogenase
Potra2n7c15776,NAC transcription factor
Potra2n7c16090,NEP1-interacting protein
Potra2n7c16030,Serine threonine-protein kinase sepA-like
Potra2n1c85,Reverse transcriptase (RNA-dependent DNA polymerase)
Potra2n1c890,AMP-binding enzyme C-terminal domain
Potra2n1c907,DEAD-box ATP-dependent RNA helicase
Potra2n1c922,Cytochrome p450
Potra2n1c977,transmembrane protein 64-like
Potra2n1c1054,Belongs to the LDH MDH superfamily
Potra2n1c1071,E3 ubiquitin protein ligase RIN2-like
Potra2n1c1142,BOBBER 1-like
Potra2n1c1339,Carbamoyl-phosphate synthase small
Potra2n1c1022,Lipid transfer-like protein VAS
Potra2n1c1666,Aux IAA proteins are short-lived transcriptional factors that function as repressors of early auxin response genes at low auxin concentrations
Potra2n1c1255,tobamovirus multiplication protein
Potra2n1c2124,Belongs to the sterol desaturase family
Potra2n1c1847,Lysosomal Pro-X
Potra2n1c1740,Topless-related protein
Potra2n1c2627,Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family
Potra2n1c2628,Citrate transporter
Potra2n1c2827,Belongs to the DHHC palmitoyltransferase family
Potra2n1c3188,Heterogeneous nuclear ribonucleoprotein
Potra2n1c3172,"1,4-alpha-glucan-branching enzyme 3, chloroplastic"
Potra2n1c3228,Belongs to the glycosyltransferase 2 family
Potra2n1c3484,bifunctional methylthioribulose-1-phosphate dehydratase enolase-phosphatase E1
Potra2n1c3108,Programmed cell death
Potra2n1c3132,Bidirectional sugar transporter
Potra2n1c3122,beta-xylosidase alpha-L-arabinofuranosidase 1-like
Potra2n1c3512,Regulator of chromosome condensation (RCC1) repeat
Potra2n1c3827,60S ribosomal Protein
Potra2n10c20786,Myb-like DNA-binding domain
Potra2n10c21131,Belongs to the ubiquitin-conjugating enzyme family
Potra2n10c21351,Belongs to the class-I aminoacyl-tRNA synthetase family
Potra2n10c21393,alpha-galactosidase
Potra2n10c21745,3-ketoacyl-CoA synthase
Potra2n10c22094,Microtubule-associated protein
Potra2n10c22080,Galactoside-binding lectin
Potra2n10c22028,Nucleotide-diphospho-sugar transferase
Potra2n10c22110,Belongs to the peptidase M16 family
Potra2n10c22252,Regulator of Ty1 transposition protein 107 BRCT domain
Potra2n15c28055,Arginine serine-rich-splicing factor
Potra2n15c28061,BAG family molecular chaperone regulator
Potra2n15c28340,Det1 complexing ubiquitin ligase
Potra2n15c28818,WAT1-related protein
Potra2n15c28935,Purple acid phosphatase
Potra2n11c22423,Heat shock protein
Potra2n11c22511,"Palmitoyl-monogalactosyldiacylglycerol delta-7 desaturase, chloroplastic-like"
Potra2n11c22677,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Potra2n11c23186,ER lumen
Potra2n11c23319,Telomerase activating protein Est1
Potra2n11c23266,Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily
Potra2n11c23670,Belongs to the multi antimicrobial extrusion (MATE) (TC 2.A.66.1) family
Potra2n8c17317,Introduction of a cis double bond between carbons of the acyl chain
Potra2n8c17969,nucleobase-ascorbate transporter
Potra2n8c18104,Pet100
Potra2n8c18186,Protein phosphatase 2C-like protein
Potra2n8c18205,Family of unknown function (DUF716)
Potra2n8c18328,Nucleoporin GLE1
Potra2n9c18650,aminoacylase activity
Potra2n9c18705,transcription factor
Potra2n9c18745,Belongs to the GDA1 CD39 NTPase family
Potra2n9c18826,Hsp20/alpha crystallin family
Potra2n9c18812,Cytochrome b-c1 complex subunit 9-like
Potra2n9c19321,Somatic embryogenesis receptor kinase
Potra2n9c19562,Potassium transporter
Potra2n9c19709,Serine--glyoxylate
Potra2n9c19868,Belongs to the DHHC palmitoyltransferase family
Potra2n18c31977,Pentatricopeptide repeat-containing protein
Potra2n18c32235,Belongs to the universal ribosomal protein uS17 family
Potra2n18c32485,fructose-bisphosphate aldolase
Potra2n18c32767,phosphatase 2C
Potra2n18c32743,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
Potra2n18c33041,Synaptotagmin-like mitochondrial-lipid-binding domain
Potra2n18c33122,zinc finger CCCH domain-containing protein
Potra2n763s36704,f-box protein
Potra2n4c8672,Transcription factor ILR3-like
Potra2n4c8695,External alternative NAD(P)H-ubiquinone oxidoreductase
Potra2n4c8842,May be involved in modulation of pathogen defense and leaf cell death
Potra2n4c9773,"Protein of unknown function, DUF547"
Potra2n4c9840,Diaminopimelate decarboxylase
Potra2n4c10056,Belongs to the multi antimicrobial extrusion (MATE) (TC 2.A.66.1) family
Potra2n4c10133,assists the folding of proteins upon ATP hydrolysis
Potra2n4c10229,Calcium-dependent protein kinase
Potra2n4c10441,NAC domain-containing protein
Potra2n516s35869,Belongs to the class I-like SAM-binding methyltransferase superfamily. RNA M5U methyltransferase family
Potra2n6c13184,metalloendoproteinase 1-like
Potra2n6c13261,PHAX RNA-binding domain
Potra2n6c13739,Belongs to the 1-acyl-sn-glycerol-3-phosphate acyltransferase family
Potra2n6c13985,ubiE/COQ5 methyltransferase family
Potra2n6c14097,Peroxiredoxin Q
Potra2n6c14120,Pectinesterase
Potra2n6c14478,Histidine Phosphotransfer domain
Potra2n6c14730,Protein trichome birefringence-like 5
Potra2n6c15172,Protein PLANT CADMIUM RESISTANCE
Potra2n6c15040,"L-galactono-1,4-lactone dehydrogenase"
Potra2n6c15305,Membrane bound O-acyl transferase family
Potra2n6c15313,36.4 kDa proline-rich
Potra2n13c25050,Protein THYLAKOID FORMATION1
Potra2n13c25012,SWR1 complex subunit
Potra2n13c25239,Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O- methyltransferase family
Potra2n13c25790,HEAT repeats
Potra2n13c25747,Double-stranded RNA-binding protein
Potra2n13c25929,E3 ubiquitin protein ligase DRIP2-like
Potra2n17c30626,At3g49140-like
Potra2n17c30675,Polyamine oxidase
Potra2n17c30716,AAA domain
Potra2n17c31168,Transmembrane emp24 domain-containing protein
Potra2n17c31325,transcription complex subunit
Potra2n17c31319,GPI transamidase component
Potra2n17c31444,Myb-like protein X
Potra2n17c31465,UV radiation resistance-associated gene
Potra2n17c31522,Phosphoribosylaminoimidazole-succinocarboxamide synthase
Potra2n17c31659,"3-oxo-Delta(4,5)-steroid 5-beta-reductase-like"
Potra2n17c31693,Fringe-like
Potra2n17c31899,Protein kinase domain
Potra2n3c6885,Glycine-rich RNA-binding protein
Potra2n3c7079,Membrane-bound transcription factor site-2
Potra2n3c7557,DYAD-like
Potra2n3c7623,4-coumarate--CoA ligase-like
Potra2n3c7621,Ribosomal protein L35
Potra2n3c7887,Alanine aminotransferase
Potra2n3c7859,Cholinephosphate cytidylyltransferase
Potra2n3c7973,isoform X1
Potra2n3c7996,proline-rich receptor-like protein kinase
Potra2n3c8072,beta-galactosidase
Potra2n3c8121,ABC transporter C family member
Potra2n3c8153,Solute carrier family 35
Potra2n3c8335,"Acts as a Mg(2 ) transporter. Can also transport other divalent cations such as Fe(2 ), Sr(2 ), Ba(2 ), Mn(2 ) and Co(2 ) but to a much less extent than Mg(2 )"
Potra2n12c23828,KH domain-containing protein
Potra2n12c23965,"RNA polymerase sigma factor sigE, chloroplastic"
Potra2n12c24100,Signal recognition particle 19 kDa
Potra2n12c24187,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Potra2n12c24208,Universal stress protein family
Potra2n12c24274,Plant calmodulin-binding domain
Potra2n12c24864,methyl-CpG-binding domain-containing protein 13
Potra2n617s36168,Sodium hydrogen exchanger
Potra2n2c4048,"CRAL/TRIO, N-terminal domain"
Potra2n2c4250,Acyl-coenzyme A thioesterase 9
Potra2n2c4697,pleiotropic drug resistance protein 3-like
Potra2n2c4801,P21-Rho-binding domain
Potra2n2c5049,MADS-box protein
Potra2n2c5093,40S ribosomal protein
Potra2n2c5279,RING-H2 zinc finger domain
Potra2n2c5298,transcription factor
Potra2n2c5640,Transcription factor
Potra2n2c5930,transcription factor
Potra2n2c6045,U3 small nucleolar RNA-associated protein 18 homolog
Potra2n2c6002,Belongs to the BI1 family
Potra2n2c6202,Histone H3.3-like
Potra2n2c6363,BTB POZ domain-containing protein
Potra2n14c26961,) efflux antiporter
Potra2n14c27345,Belongs to the protein disulfide isomerase family
Potra2n14c27326,Histidine kinase
Potra2n14c27546,50S ribosomal protein
Potra2n14c27762,Glycogen recognition site of AMP-activated protein kinase
Potra2n5c10707,tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit
Potra2n5c11257,Belongs to the peptidase C19 family
Potra2n5c11439,transcription factor
Potra2n5c11566,Microtubule-associated protein RP EB family member
Potra2n5c11604,calcium-binding protein
Potra2n5c11636,isoform X1
Potra2n5c11770,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
Potra2n5c11878,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
